Expression,Base,Function,Cumulative Time (s),Calls,Time per Call (s),Profile Report Path,CPU Usage (%),Duration (s)
1,research/experiment_results\aop_profiling_report_j_a_base_2_20250627_163819.txt,50.0,0.0009992122650146484
j^a,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_a_base_2_20250627_163819.txt,,
j^a,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.0,3,0.0,research/experiment_results\aop_profiling_report_j_a_base_2_20250627_163819.txt,,
j^a,2,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.0,3,0.0,research/experiment_results\aop_profiling_report_j_a_base_2_20250627_163819.txt,,
j^b,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.002,1,0.002,research/experiment_results\aop_profiling_report_j_b_base_2_20250627_163819.txt,50.0,0.0019991397857666016
j^b,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_b_base_2_20250627_163819.txt,,
j^b,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_b_base_2_20250627_163819.txt,,
j^b,2,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_b_base_2_20250627_163819.txt,,
j^c,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.002,1,0.002,research/experiment_results\aop_profiling_report_j_c_base_2_20250627_163819.txt,50.0,0.0019991397857666016
j^c,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_c_base_2_20250627_163819.txt,,
j^c,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_c_base_2_20250627_163819.txt,,
j^c,2,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_c_base_2_20250627_163819.txt,,
j^d,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.001,1,0.001,research/experiment_results\aop_profiling_report_j_d_base_2_20250627_163819.txt,50.0,0.00099945068359375
j^d,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_d_base_2_20250627_163819.txt,,
j^d,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_d_base_2_20250627_163819.txt,,
j^d,2,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_d_base_2_20250627_163819.txt,,
j^e,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.001,1,0.001,research/experiment_results\aop_profiling_report_j_e_base_2_20250627_163819.txt,50.0,0.00099945068359375
j^e,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.0,3,0.0,research/experiment_results\aop_profiling_report_j_e_base_2_20250627_163819.txt,,
j^e,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.0,3,0.0,research/experiment_results\aop_profiling_report_j_e_base_2_20250627_163819.txt,,
j^f,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.002,1,0.002,research/experiment_results\aop_profiling_report_j_f_base_2_20250627_163819.txt,50.0,0.0019989013671875
j^f,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_f_base_2_20250627_163819.txt,,
j^f,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_f_base_2_20250627_163819.txt,,
j^f,2,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_f_base_2_20250627_163819.txt,,
j^g,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.001,1,0.001,research/experiment_results\aop_profiling_report_j_g_base_2_20250627_163819.txt,48.85,0.0009996891021728516
j^g,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.0,3,0.0,research/experiment_results\aop_profiling_report_j_g_base_2_20250627_163819.txt,,
j^a + j^b + j^c,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.003,1,0.003,research/experiment_results\aop_profiling_report_j_a + j_b + j_c_base_2_20250627_163819.txt,48.75,0.0029981136322021484
j^a + j^b + j^c,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:93(__add__),0.001,2,0.0005,research/experiment_results\aop_profiling_report_j_a + j_b + j_c_base_2_20250627_163819.txt,,
j^a + j^b + j^c,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:15(_simplify),0.001,2,0.0005,research/experiment_results\aop_profiling_report_j_a + j_b + j_c_base_2_20250627_163819.txt,,
j^d + j^e + j^a,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.108,1,0.108,research/experiment_results\aop_profiling_report_j_d + j_e + j_a_base_2_20250627_163819.txt,83.4,0.10830950736999512
j^d + j^e + j^a,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:93(__add__),0.106,2,0.053,research/experiment_results\aop_profiling_report_j_d + j_e + j_a_base_2_20250627_163819.txt,,
j^d + j^e + j^a,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:15(_simplify),0.106,2,0.053,research/experiment_results\aop_profiling_report_j_d + j_e + j_a_base_2_20250627_163819.txt,,
j^a + j^b + j^c + j^d + j^e + j^f,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.497,1,0.497,research/experiment_results\aop_profiling_report_j_a + j_b + j_c + j_d + j_e + j_f_base_2_20250627_163819.txt,61.4,0.49605727195739746
j^a + j^b + j^c + j^d + j^e + j^f,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:93(__add__),0.489,5,0.0978,research/experiment_results\aop_profiling_report_j_a + j_b + j_c + j_d + j_e + j_f_base_2_20250627_163819.txt,,
j^a + j^b + j^c + j^d + j^e + j^f,2,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_value.py:15(_simplify),0.489,5,0.0978,research/experiment_results\aop_profiling_report_j_a + j_b + j_c + j_d + j_e + j_f_base_2_20250627_163819.txt,,
j^a,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.002,1,0.002,research/experiment_results\aop_profiling_report_j_a_base_10_20250627_163819.txt,98.75,0.0022792816162109375
j^a,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.002,3,0.0006666666666666666,research/experiment_results\aop_profiling_report_j_a_base_10_20250627_163819.txt,,
j^a,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_a_base_10_20250627_163819.txt,,
j^a,10,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_a_base_10_20250627_163819.txt,,
j^b,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.001,1,0.001,research/experiment_results\aop_profiling_report_j_b_base_10_20250627_163819.txt,48.45,0.002039194107055664
j^b,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_b_base_10_20250627_163819.txt,,
j^b,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.0,3,0.0,research/experiment_results\aop_profiling_report_j_b_base_10_20250627_163819.txt,,
j^b,10,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.0,3,0.0,research/experiment_results\aop_profiling_report_j_b_base_10_20250627_163819.txt,,
j^c,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.002,1,0.002,research/experiment_results\aop_profiling_report_j_c_base_10_20250627_163819.txt,48.45,0.001628875732421875
j^c,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:33(print_header),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_c_base_10_20250627_163819.txt,,
j^c,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_logger.py:30(get_term_width),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_c_base_10_20250627_163819.txt,,
j^c,10,C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1422(get_terminal_size),0.001,3,0.0003333333333333333,research/experiment_results\aop_profiling_report_j_c_base_10_20250627_163819.txt,,
j^d,10,C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:26(evaluate_expression),0.001,1,0.001,research/experiment_results\aop_profiling_report_j_d_base_10_20250627_163819.txt,47.9,0.0018222332000732422
