         26879 function calls (26512 primitive calls) in 0.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.151    0.151 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:15(evaluate_expression)
        1    0.000    0.000    0.147    0.147 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:7(evaluate_ast)
        1    0.000    0.000    0.147    0.147 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:76(evaluate_sum_parallel)
        1    0.000    0.000    0.128    0.128 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:738(__exit__)
        1    0.000    0.000    0.104    0.104 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:654(terminate)
        1    0.000    0.000    0.080    0.080 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.080    0.080 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:314(_repopulate_pool_static)
       16    0.000    0.000    0.079    0.005 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:110(start)
       16    0.000    0.000    0.079    0.005 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:334(_Popen)
       16    0.000    0.000    0.077    0.005 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\popen_spawn_win32.py:45(__init__)
       16    0.069    0.004    0.069    0.004 {built-in method _winapi.CreateProcess}
     49/5    0.000    0.000    0.047    0.009 <frozen importlib._bootstrap>:1349(_find_and_load)
     49/5    0.000    0.000    0.046    0.009 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     47/5    0.000    0.000    0.045    0.009 <frozen importlib._bootstrap>:911(_load_unlocked)
     29/5    0.000    0.000    0.044    0.009 <frozen importlib._bootstrap_external>:993(exec_module)
   108/10    0.000    0.000    0.042    0.004 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     31/5    0.000    0.000    0.042    0.008 {built-in method builtins.exec}
    22/14    0.000    0.000    0.024    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
