         6081 function calls (6037 primitive calls) in 0.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.251    0.251 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:15(evaluate_expression)
        1    0.000    0.000    0.250    0.250 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:7(evaluate_ast)
        1    0.000    0.000    0.250    0.250 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:83(evaluate_sum_parallel)
        1    0.000    0.000    0.250    0.250 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:738(__exit__)
        1    0.000    0.000    0.250    0.250 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:654(terminate)
       17    0.000    0.000    0.168    0.010 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\util.py:208(__call__)
        1    0.000    0.000    0.167    0.167 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:680(_terminate_pool)
        1    0.000    0.000    0.156    0.156 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:671(_help_stuff_finish)
        1    0.003    0.003    0.156    0.156 {method 'acquire' of '_multiprocessing.SemLock' objects}
      3/1    0.000    0.000    0.153    0.153 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1018(_bootstrap)
      3/1    0.000    0.000    0.153    0.153 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000    0.153    0.153 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1001(run)
        1    0.000    0.000    0.153    0.153 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:527(_handle_tasks)
    24/23    0.000    0.000    0.152    0.007 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:284(_send_bytes)
      5/4    0.000    0.000    0.152    0.038 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\queues.py:391(put)
      5/4    0.000    0.000    0.152    0.038 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:182(send_bytes)
    43/39    0.001    0.000    0.152    0.004 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
        6    0.000    0.000    0.151    0.025 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:253(poll)
        1    0.000    0.000    0.151    0.151 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:573(_handle_results)
        1    0.000    0.000    0.150    0.150 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:369(starmap)
        1    0.000    0.000    0.150    0.150 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:767(get)
        4    0.000    0.000    0.149    0.037 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:246(recv)
