Test Type,Base,Depth,Expression,Execution Time (s),Output,Status,Validation Result
basic_addition,10,N/A,2+3,0.15539660453796386,5,Success,Pass
basic_multiplication,10,N/A,4*5,0.15512614250183104,20,Success,Pass
basic_exponentiation,10,N/A,2^3,0.15132780075073243,8,Success,Pass
symbolic_aop,10,N/A,(a+b)(a-b),0.1513279438018799,-9c - 9b,Success,Pass
large_number,10,N/A,j^2,0.15392642021179198,100000000000000000000,Success,Pass
hyper-power-aop,2,N/A,j^a,0.15212745666503907,t,Success,N/A (Performance Test)
hyper-power-aop,2,N/A,j^b,0.15192756652832032,O,Success,N/A (Performance Test)
hyper-power-aop,2,N/A,j^c,0.15243496894836425,base^80,Success,N/A (Performance Test)
hyper-power-aop,10,N/A,j^a,0.1513279438018799,Z,Success,N/A (Performance Test)
hyper-power-aop,10,N/A,j^b,0.15352673530578614,base^1000,Success,N/A (Performance Test)
hyper-power-aop,10,N/A,j^c,0.15792474746704102,base^10000,Success,N/A (Performance Test)
