Base,Depth,Expression,Execution Time (s),Output,Status
2,5,j^j^j^j^j,0.20895600318908691,a^(10*a^(10*a^(10*a^5k))),Success
2,6,j^j^j^j^j^j,0.20793628692626953,a^(10*a^(10*a^(10*a^(10*a^5k)))),Success
2,7,j^j^j^j^j^j^j,0.2159256935119629,a^(10*a^(10*a^(10*a^(10*a^(10*a^5k))))),Success
2,8,j^j^j^j^j^j^j^j,0.22446274757385254,a^(10*a^(10*a^(10*a^(10*a^(10*a^(10*a^5k)))))),Success
2,9,j^j^j^j^j^j^j^j^j,0.23139023780822754,a^(10*a^(10*a^(10*a^(10*a^(10*a^(10*a^(10*a^5k))))))),Success
2,10,j^j^j^j^j^j^j^j^j^j,0.24999666213989258,a^(10*a^(10*a^(10*a^(10*a^(10*a^(10*a^(10*a^(10*a^5k)))))))),Success
10,5,j^j^j^j^j,0.2129664421081543,a^(a^(1 + a^(1 + a^100000000001))),Success
10,6,j^j^j^j^j^j,0.20281338691711426,a^(a^(1 + a^(1 + a^(1 + a^100000000001)))),Success
10,7,j^j^j^j^j^j^j,0.20344781875610352,a^(a^(1 + a^(1 + a^(1 + a^(1 + a^100000000001))))),Success
10,8,j^j^j^j^j^j^j^j,0.20744657516479492,a^(a^(1 + a^(1 + a^(1 + a^(1 + a^(1 + a^100000000001)))))),Success
10,9,j^j^j^j^j^j^j^j^j,0.20738816261291504,a^(a^(1 + a^(1 + a^(1 + a^(1 + a^(1 + a^(1 + a^100000000001))))))),Success
10,10,j^j^j^j^j^j^j^j^j^j,0.21091985702514648,a^(a^(1 + a^(1 + a^(1 + a^(1 + a^(1 + a^(1 + a^(1 + a^100000000001)))))))),Success
